"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Like our amazing partners, we're just getting started. If you'd like to join our team, sign up here: https://t.co/8vbxiBzd0F",FALSE,939,"HillaryClinton",2018-11-09 16:00:17,FALSE,"1060925047328645120","1060925048087896066","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",235,FALSE,FALSE,NA,NA
"Thank you all for your service to your country. Take a well-deserved rest, and then let's keep going.",FALSE,1326,"HillaryClinton",2018-11-09 16:00:16,FALSE,"1060925046556934145","1060925047328645120","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",224,FALSE,FALSE,NA,NA
".@alliance4youth, @IndivisibleTeam, and @swingleft set about organizing locally to mobilize young people and win ba… https://t.co/BXiaRXVNKL",FALSE,684,"HillaryClinton",2018-11-09 16:00:16,TRUE,"1060925045684531203","1060925046556934145","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",144,FALSE,FALSE,NA,NA
".@iVoteFund has defended democracy itself, fighting hard against voter suppression and for secretaries of state and… https://t.co/E71uioqrlm",FALSE,390,"HillaryClinton",2018-11-09 16:00:16,TRUE,"1060925044711399424","1060925045684531203","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",123,FALSE,FALSE,NA,NA
".@ColorOfChange and @DomesticWorkers have spent the last two years waging campaigns to defend civil rights against… https://t.co/Ao4qYHba4L",FALSE,343,"HillaryClinton",2018-11-09 16:00:16,TRUE,"1060925043042107392","1060925044711399424","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",100,FALSE,FALSE,NA,NA
".@LatinoVictoryUS and @VotoLatino have worked to mobilize Latino voters and elect progressive Latino candidates, se… https://t.co/quuFV8iQv5",FALSE,378,"HillaryClinton",2018-11-09 16:00:15,TRUE,"1060925042098364417","1060925043042107392","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",110,FALSE,FALSE,NA,NA
".@arenasummit, @CollectivePAC, @EmergeAmerica, and @runforsomething have collectively recruited, trained, and suppo… https://t.co/TU051UXNoa",FALSE,421,"HillaryClinton",2018-11-09 16:00:15,TRUE,"1060925041154633729","1060925042098364417","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",124,FALSE,FALSE,NA,NA
"These organizations are recruiting a new Democratic bench, defending rights, and organizing locally to fight for pr… https://t.co/wkE4n9OBlz",FALSE,489,"HillaryClinton",2018-11-09 16:00:15,TRUE,"1060925039933968384","1060925041154633729","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",150,FALSE,FALSE,NA,NA
"Thanks and congratulations to all our @OnwardTogether partners for two years of hard work that paid off in a big way this week.",FALSE,3182,NA,2018-11-09 16:00:15,FALSE,NA,"1060925039933968384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",645,FALSE,FALSE,NA,NA
"Georgians, spread the word: The deadline is 5pm today for people who voted with paper ballots to make sure their vo… https://t.co/5vUinbEkRL",FALSE,26424,NA,2018-11-09 14:57:51,TRUE,NA,"1060909337600770048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",14813,FALSE,FALSE,NA,NA
"RT @marceelias: URGENT: Democrats--please share. https://t.co/55AZx2HFQD",FALSE,0,NA,2018-11-08 19:36:43,FALSE,NA,"1060617127617617923",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",7357,TRUE,FALSE,NA,NA
