text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @RNational_off: 🔴 Turquie dans l'UE, hausse des taxes, submersion migratoire, insultes aux dirigeants patriotes : le programme du candid…",FALSE,0,NA,11/9/18 19:32,FALSE,NA,1.06098E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MLP_officiel,61,TRUE,FALSE,NA,NA
RT @RNational_off: 📣 RT ! Notre Présidente @MLP_officiel sera demain à #Verdun pour fêter le centenaire de la victoire de nos armées lors d…,FALSE,0,NA,11/9/18 14:49,FALSE,NA,1.06091E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MLP_officiel,246,TRUE,FALSE,NA,NA
"Il y a 29 ans, le Mur de Berlin tombait, et avec lui le joug communiste partout en Europe. La liberté des peuples s… https://t.co/JPC8o1kR46",FALSE,488,NA,11/9/18 11:34,TRUE,NA,1.06086E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MLP_officiel,233,FALSE,FALSE,NA,NA
"En ce jour anniversaire de la mort du Général de Gaulle, réécoutons la pensée  de Philippe Séguin, fidèle gaulliste… https://t.co/qQGhySwUvS",FALSE,1191,NA,11/9/18 9:04,TRUE,NA,1.06082E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MLP_officiel,739,FALSE,FALSE,NA,NA
"Refuser de désigner la cause de cette montée de l’antisémitisme, c’est se condamner à l’impuissance et donc renonce… https://t.co/5UhGvvVm7M",FALSE,991,NA,11/9/18 7:45,TRUE,NA,1.0608E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MLP_officiel,505,FALSE,FALSE,NA,NA
RT @louis_aliot: Le 1er Ministre dénonce la forte hausse des actes antisémites. L’explosion de ce fléau en France est la conséquence du dév…,FALSE,0,NA,11/9/18 7:45,FALSE,NA,1.0608E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MLP_officiel,494,TRUE,FALSE,NA,NA
"RT @BrunoBilde: A l’Assemblée nationale, j’ai proposé la suppression de l’Aide médicale d’Etat réservée aux clandestins (1 milliard d’euros…",FALSE,0,NA,11/8/18 16:23,FALSE,NA,1.06057E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MLP_officiel,804,TRUE,FALSE,NA,NA
"RT @menleuropa: 📆 Le MENL vous donne RDV le 16/11 à #Sofia pour une conférence sur le thème « L'Europe des Nations et des libertés, un nouv…",FALSE,0,NA,11/8/18 13:04,FALSE,NA,1.06052E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MLP_officiel,62,TRUE,FALSE,NA,NA
"En appelant à la création d’une armée européenne contre la #Russie, M. #Macron poursuit l’aventurisme dangereux de… https://t.co/QDDIQATN4b",FALSE,1185,NA,11/7/18 15:37,TRUE,NA,1.06019E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MLP_officiel,646,FALSE,FALSE,NA,NA
"RT @RNational_off: 🎥 Macron utilise l'argent des Français pour faire de la propagande. nous lui proposons une autre version !

Emploi, immi…",FALSE,0,NA,11/7/18 14:40,FALSE,NA,1.06018E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MLP_officiel,1008,TRUE,FALSE,NA,NA
"Mais ça commence à bien faire ces agressions contre les commerçants ! Personne ne les force à manger de la viande,… https://t.co/rZF0ifLdUM",FALSE,2155,NA,11/7/18 9:37,TRUE,NA,1.0601E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MLP_officiel,1153,FALSE,FALSE,NA,NA
