Tweet,Candidate,rt,word
RT @DonaldJTrumpJr: Thanks New Hampshire!!! #NH #NewHampshire #MAGA https://t.co/JDgcyJvJpk,Trump,TRUE,#nh
RT @DonaldJTrumpJr: Thanks New Hampshire!!! #NH #NewHampshire #MAGA https://t.co/JDgcyJvJpk,Trump,TRUE,#newhampshire
RT @DonaldJTrumpJr: Thanks New Hampshire!!! #NH #NewHampshire #MAGA https://t.co/JDgcyJvJpk,Trump,TRUE,#maga
LIVE on #Periscope: Join me for a few minutes in Pennsylvania. Get out &amp; VOTE tomorrow. LETS #MAGA!! https://t.co/Ej0LmMK3YU,Trump,FALSE,#periscope
LIVE on #Periscope: Join me for a few minutes in Pennsylvania. Get out &amp; VOTE tomorrow. LETS #MAGA!! https://t.co/Ej0LmMK3YU,Trump,FALSE,#maga
Just landed in North Carolina- heading to the J.S. Dorton Arena. See you all soon! Lets #MakeAmericaGreatAgain! https://t.co/EUo0keWX1Y,Trump,FALSE,#makeamericagreatagain
Starting tomorrow it's going to be #AmericaFirst! Thank you for a great morning Sarasota Florida!Watch here:â¦ https://t.co/ig62Kjkkvl,Trump,FALSE,#americafirst
Thank you for you support Virginia! In ONE DAY - get out and #VoteTrumpPence16! #ICYMI: https://t.co/Nid8qcFTwY https://t.co/WOsEcjM8sm,Trump,FALSE,#votetrumppence16
Thank you for you support Virginia! In ONE DAY - get out and #VoteTrumpPence16! #ICYMI: https://t.co/Nid8qcFTwY https://t.co/WOsEcjM8sm,Trump,FALSE,#icymi
Thank you Pennsylvania- I am forever grateful for your amazing support. Lets MAKE AMERICA GREAT AGAIN! #MAGAâ¦ https://t.co/qbcJZAzw6z,Trump,FALSE,#magaâ¦
Thank you Michigan! This is a MOVEMENT that will never be seen again- it's our last chance to #DrainTheSwamp! Watchâ¦ https://t.co/cSdGkCFYRL,Trump,FALSE,#draintheswamp
Thank you Minnesota! It is time to #DrainTheSwamp &amp; #MAGA! #ICYMI- watch: https://t.co/fVThC7yIL6 https://t.co/e8SaXiJrxj,Trump,FALSE,#draintheswamp
Thank you Minnesota! It is time to #DrainTheSwamp &amp; #MAGA! #ICYMI- watch: https://t.co/fVThC7yIL6 https://t.co/e8SaXiJrxj,Trump,FALSE,#maga
Thank you Minnesota! It is time to #DrainTheSwamp &amp; #MAGA! #ICYMI- watch: https://t.co/fVThC7yIL6 https://t.co/e8SaXiJrxj,Trump,FALSE,#icymi
Thank you Iowa - Get out &amp; #VoteTrumpPence16! https://t.co/HfihPERFgZ https://t.co/QsukELQmKb,Trump,FALSE,#votetrumppence16
Great night in Denver Colorado- thank you! Together we will MAKE AMERICA GREAT AGAIN! #ICYMI watch rally here:â¦ https://t.co/LbvNHo6T2k,Trump,FALSE,#icymi
RT @DanScavino: Join @realDonaldTrump LIVE in Denver Colorado via his #Facebook page- we are here!!#MakeAmericaGreatAgainðºð¸  https://t.câ¦,Trump,TRUE,#facebook
Thank you Reno Nevada. NOTHING will stop us in our quest to MAKE AMERICA SAFE AND GREAT AGAIN! #AmericaFirstâ¦ https://t.co/A4eeHoCbGS,Trump,FALSE,#americafirstâ¦
#DrainTheSwamp!https://t.co/z68vGp9Bvf,Trump,FALSE,#draintheswamphttpstcoz68vgp9bvf
Watch Coach Mike Ditka- a great guy and supporter tonight at 8pmE on #WattersWorld with @jessebwatters @FoxNews.,Trump,FALSE,#wattersworld
Thank you for the incredible support this morning Tampa Florida! #ICYMI- watch here: https://t.co/q43kHf7MoE https://t.co/1GscFNaV4L,Trump,FALSE,#icymi
Thank you Hershey Pennsylvania. Get out &amp; VOTE on November 8th &amp; we will #MAGA! #RallyForRiley #ICYMI watch hereâ¦ https://t.co/maWukVBTr8,Trump,FALSE,#maga
Thank you Hershey Pennsylvania. Get out &amp; VOTE on November 8th &amp; we will #MAGA! #RallyForRiley #ICYMI watch hereâ¦ https://t.co/maWukVBTr8,Trump,FALSE,#rallyforriley
Thank you Hershey Pennsylvania. Get out &amp; VOTE on November 8th &amp; we will #MAGA! #RallyForRiley #ICYMI watch hereâ¦ https://t.co/maWukVBTr8,Trump,FALSE,#icymi
Join me live in Hershey Pennsylvania! #MakeAmericaGreatAgain LIVE: https://t.co/xEj6sZpb12 https://t.co/JWfGI1vlwW,Trump,FALSE,#makeamericagreatagain
The Clinton Campaign at Obama Justice #DrainTheSwamphttps://t.co/LZkvFc071z,Trump,FALSE,#draintheswamphttpstcolzkvfc071z
"RT @PaulaReidCBS: .@CBSNews confirms FBI found emails on #AnthonyWeiner computer related to Hillary Clinton server that are ""new"" &amp; not pâ¦",Trump,TRUE,#anthonyweiner
Join me in Wilmington Ohio tomorrow at 4:00pm! It is time to #DrainTheSwamp! Tickets: https://t.co/eCLECM3nmW https://t.co/sb5irRxjxJ,Trump,FALSE,#draintheswamp
#CrookedHillary is unfit to serve. https://t.co/bSuGvInNF1,Trump,FALSE,#crookedhillary
Thank you Arlene! We will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #DrainTheSwamp https://t.co/tSI0YP2LL9,Trump,FALSE,#imwithyou
Thank you Arlene! We will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #DrainTheSwamp https://t.co/tSI0YP2LL9,Trump,FALSE,#draintheswamp
#MakeAmericaGreatAgain #6Days https://t.co/eHTGIEpFsm,Trump,FALSE,#makeamericagreatagain
After decades of lies and scandal Crooked Hillary's corruption is closing in. #DrainTheSwamp! https://t.co/YivCacmkKq,Trump,FALSE,#draintheswamp
It pays to have friends in high places- like the Justice Department. Clearly the Clintons do. #DrainTheSwamp! https://t.co/KZXB4B156M,Trump,FALSE,#draintheswamp
@PYNance: Evangelical women live at #trumptower @pdpryor1 @CissieGLynch @SaysGabrielle https://t.co/k5kGXPR2WA,Trump,FALSE,#trumptower
@Ravenrantz: #Billygraham's grand daughter #SupportsTrump https://t.co/sKz1SPHzDZ  So nice thank you Cissy Graham Lynch!!!!,Trump,FALSE,#billygrahams
@Ravenrantz: #Billygraham's grand daughter #SupportsTrump https://t.co/sKz1SPHzDZ  So nice thank you Cissy Graham Lynch!!!!,Trump,FALSE,#supportstrump
Thank you for your incredible support Wisconsin and Governor @ScottWalker! It is time to #DrainTheSwamp &amp; #MAGA!â¦ https://t.co/gKBkKmTudn,Trump,FALSE,#draintheswamp
Thank you for your incredible support Wisconsin and Governor @ScottWalker! It is time to #DrainTheSwamp &amp; #MAGA!â¦ https://t.co/gKBkKmTudn,Trump,FALSE,#magaâ¦
WikiLeaks emails reveal Podesta urging Clinton camp to 'dump' emails. Time to #DrainTheSwamp!https://t.co/P3ajiACiXK,Trump,FALSE,#draintheswamphttpstcop3ajiacixk
#ICYMI: Governor @mike_pence and I were in Valley Forge Pennsylvania today. You can watch it here:â¦ https://t.co/6GWgmCV23Z,Trump,FALSE,#icymi
#ObamacareFail #HillarycareFail https://t.co/gaXOWVI0Xa,Trump,FALSE,#obamacarefail
#ObamacareFail #HillarycareFail https://t.co/gaXOWVI0Xa,Trump,FALSE,#hillarycarefail
Thank you Grand Rapids Michigan! #ICYMI- watch: https://t.co/2mDQCs6coB https://t.co/gN7BYfLD9K,Trump,FALSE,#icymi
$25 Million+ raised online in just one week! RECORD WEEK. #DrainTheSwamp Today we set a bigger record. Contribute &gt;https://t.co/CZ1QmzCxwO,Trump,FALSE,#draintheswamp
'Hillary's Two Official Favors To Morocco Resulted In $28 Million For Clinton Foundation' #DrainTheSwamphttps://t.co/6qOO7FZSvF,Trump,FALSE,#draintheswamphttpstco6qoo7fzsvf
Beautiful rally in Albuquerque New Mexico this evening - thank you. Get out &amp; VOTE! #DrainTheSwampWatch rally:â¦ https://t.co/K2RSgt2Zh5,Trump,FALSE,#draintheswampwatch
"Twitter for iPhone,Thank you Las Vegas Nevada- I love you! Departing for Greeley Colorado now. Get out &amp; VOTE! #ICYMI- watch here:â¦ https://t.co/uIloPRtEn9,10-30-2016 19:05:31,8325,22954,false,792804645542305792",Trump,FALSE,#icymi
"Twitter for Android,@DeplorableCBTP: ""In my mind #DonaldTrump is the only way out of this mess."" - #PhilRobertson of TV's #DuckDynasty""   Thank you Phil!",Trump,FALSE,#donaldtrump
"Twitter for Android,@DeplorableCBTP: ""In my mind #DonaldTrump is the only way out of this mess."" - #PhilRobertson of TV's #DuckDynasty""   Thank you Phil!",Trump,FALSE,#philrobertson
"Twitter for Android,@DeplorableCBTP: ""In my mind #DonaldTrump is the only way out of this mess."" - #PhilRobertson of TV's #DuckDynasty""   Thank you Phil!",Trump,FALSE,#duckdynasty
"Twitter for iPhone,We must not let #CrookedHillary take her CRIMINAL SCHEME into the Oval Office. #DrainTheSwamp https://t.co/GtPkj4xIz6,10-28-2016 19:20:22,26231,54473,false,792083605405171712",Trump,FALSE,#crookedhillary
"Twitter for iPhone,We must not let #CrookedHillary take her CRIMINAL SCHEME into the Oval Office. #DrainTheSwamp https://t.co/GtPkj4xIz6,10-28-2016 19:20:22,26231,54473,false,792083605405171712",Trump,FALSE,#draintheswamp
Join @TeamTrump on Facebook &amp; watch tonight's rally from Geneva Ohio- our 3rd rally of the day. #AmericaFirst #MAGA https://t.co/ZqJmf4QcwH,Trump,FALSE,#americafirst
Join @TeamTrump on Facebook &amp; watch tonight's rally from Geneva Ohio- our 3rd rally of the day. #AmericaFirst #MAGA https://t.co/ZqJmf4QcwH,Trump,FALSE,#maga
Crooked Hillary launched her political career by letting terrorists off the hook. #DrainTheSwampâ¦ https://t.co/BLMkZQ8svK,Trump,FALSE,#draintheswampâ¦
I delivered a speech in Charlotte North Carolina yesterday. I appreciate all of the feedback &amp; support. Lets #MAGAâ¦ https://t.co/aI2HtiRUzr,Trump,FALSE,#magaâ¦
Join me live in Toledo Ohio. Time to #DrainTheSwamp &amp; #MAGA!https://t.co/NU39Mmlh1T,Trump,FALSE,#draintheswamp
Join me live in Toledo Ohio. Time to #DrainTheSwamp &amp; #MAGA!https://t.co/NU39Mmlh1T,Trump,FALSE,#magahttpstconu39mmlh1t
Join me in Cedar Rapids Iowa tomorrow at 7:00pm! #MAGAhttps://t.co/QWaEJpzvKN https://t.co/CniHGkjp0v,Trump,FALSE,#magahttpstcoqwaejpzvkn
#ICYMI: I agree- To all Americans I see you &amp; I hear you. I am your voice. Vote to #DrainTheSwamp with me on 11/8.â¦ https://t.co/P2edj2MoXy,Trump,FALSE,#icymi
#ICYMI: I agree- To all Americans I see you &amp; I hear you. I am your voice. Vote to #DrainTheSwamp with me on 11/8.â¦ https://t.co/P2edj2MoXy,Trump,FALSE,#draintheswamp
Thank you Springfield Ohio. Get out and #VoteTrumpPence16!#ICYMI - watch here: https://t.co/dEoXV6oS3bâ¦ https://t.co/RNgCUUqO4X,Trump,FALSE,#votetrumppence16icymi
Inside âBill Clinton Inc.â: Hacked memo reveals intersection of charity and personal income. #DrainTheSwamp!https://t.co/UfDVzeSDfd,Trump,FALSE,#draintheswamphttpstcoufdvzesdfd
JOIN ME! #MAGATODAY:Springfield OH Toledo OH Geneva OH FRIDAY:Manchester NH Lisbon ME Cedar Rapids IAhttps://t.co/kv624y9UOm,Trump,FALSE,#magatodayspringfield
I agree @MMFlint- To all Americans I see you &amp; I hear you. I am your voice. Vote to #DrainTheSwamp w/ me on 11/8. https://t.co/D7nBwkogBb,Trump,FALSE,#draintheswamp
"Ron Fournier: ""Clinton Used Secret Server To Protect #CircleOfEnrichmentâhttps://t.co/4OGP3tPxyp",Trump,FALSE,#circleofenrichmentâhttpstco4ogp3tpxyp
Obamacare is a disaster. We must REPEAL &amp; REPLACE. Tired of the lies and want to #DrainTheSwamp? Get out &amp; VOTEâ¦ https://t.co/jOelj829Pg,Trump,FALSE,#draintheswamp
RT @EricTrump: Tune into @GMA right now to catch a great interview with my father &amp; the entire family! ðºð¸ #VoteTrumpPence16 https://t.co/Saâ¦,Trump,TRUE,#votetrumppence16
Thank you Charlotte North Carolina. Great afternoon! #ICYMI - I delivered a speech on urban renewal. Full speech:â¦ https://t.co/ga6DQZrIR0,Trump,FALSE,#icymi
Thank you Sanford Florida. Get out &amp; VOTE #TrumpPence16! #ICYMI- watch this afternoons rally here:â¦ https://t.co/zVXrScClfd,Trump,FALSE,#trumppence16
Thank you Sanford Florida. Get out &amp; VOTE #TrumpPence16! #ICYMI- watch this afternoons rally here:â¦ https://t.co/zVXrScClfd,Trump,FALSE,#icymi
REPEAL AND REPLACE!!! #ObamaCareInThreeWords,Trump,FALSE,#obamacareinthreewords
'Obama Warned Of Rigged Elections In 2008.' Time to #DrainTheSwamphttps://t.co/AkczH8l0FJ https://t.co/7mIkwAHTuV,Trump,FALSE,#draintheswamphttpstcoakczh8l0fj
Truly honored to receive the first ever presidential endorsement from the Bay of Pigs Veterans Association. #MAGAâ¦ https://t.co/aRdlFkVjAx,Trump,FALSE,#magaâ¦
Obamacare is a disaster - as I've been saying from the beginning. Time to repeal &amp; replace! #ObamacareFail https://t.co/5CvoMbVceT,Trump,FALSE,#obamacarefail
#ObamacareFail https://t.co/90Aixp25Oc,Trump,FALSE,#obamacarefail
Obamacare is a disaster! Time to repeal &amp; replace! #ObamacareFail https://t.co/xDPhVczf1g,Trump,FALSE,#obamacarefail
#ObamacareFail https://t.co/5Zvsys8j5w,Trump,FALSE,#obamacarefail
#ObamacareFail https://t.co/Mb0YW1rg6g,Trump,FALSE,#obamacarefail
#Obamacare premiums are about to SKYROCKET --- again. Crooked H will only make it worse. We will repeal &amp; replace! https://t.co/fY1REYV4rK,Trump,FALSE,#obamacare
Record crowd in Tampa Florida- thank you! We will WIN FLORIDA #DrainTheSwamp in Washington D.C. and MAKE AMERICAâ¦ https://t.co/IpSUYnXcp6,Trump,FALSE,#draintheswamp
My contract with the American voter will restore honesty accountability &amp; CHANGE to Washington! #DrainTheSwamp https://t.co/sbVwctT1Sj,Trump,FALSE,#draintheswamp
Peter Navarro: 'Trump the Bull vs. Clinton the Bear' #DrainTheSwamp https://t.co/mQRkfMG80j,Trump,FALSE,#draintheswamp
THANK YOU St. Augustine Florida! Get out and VOTE! Join the MOVEMENT - and lets #DrainTheSwamp! Off to Tampa now!â¦ https://t.co/zgwqhy2jBX,Trump,FALSE,#draintheswamp
Join me LIVE on my Facebook page in St. Augustine Florida! Lets #DrainTheSwamp &amp; MAKE AMERICA GREAT AGAIN!â¦ https://t.co/mPzVrcaR9L,Trump,FALSE,#draintheswamp
'The Clinton Foundationâs Most Questionable Foreign Donations'#PayToPlay #DrainTheSwamphttps://t.co/IkeqMRjX5z,Trump,FALSE,#draintheswamphttpstcoikeqmrjx5z
Departing Farmers Round Table in Boynton Beach Florida. Get out &amp; VOTE- lets #MAGA! EARLY VOTING BY FL. COUNTY:â¦ https://t.co/MgJxNbxRga,Trump,FALSE,#maga
Get out to VOTE on 11/8/2016- and we will #DrainTheSwamp!RASMUSSEN NATIONAL Trump 43%Clinton 41% https://t.co/jIOR7Bq816,Trump,FALSE,#draintheswamprasmussen
We are winning and the press is refusing to report it. Don't let them fool you- get out and vote! #DrainTheSwamp on November 8th!,Trump,FALSE,#draintheswamp
'Clinton Charity Got Up To $56 Million From Nations That Are Anti-Women Gays' #CrookedHillaryhttps://t.co/eHsuBdi8XM,Trump,FALSE,#crookedhillaryhttpstcoehsubdi8xm
Thank you Naples Florida! Get out and VOTE #TrumpPence16 on 11/8. Lets #MakeAmericaGreatAgain! Full Naples rallyâ¦ https://t.co/5ZbteSJ00K,Trump,FALSE,#trumppence16
